"","P75","Aleph","A","B","C","D","K","L","W","X","Delta","Theta","Xi","Pi","Psi","Byz","Lect","f-1","f-13","28","33","565","700","892","1009","1010","1071","1079","1195","1216","1230","1241","1242","1253","1344","1365","1546","1646","2148","2174","it-a","it-aur","it-b","it-i","it-c","it-d","it-e","it-f","it-ff-2","it-l","it-q","it-r-1","vg","syr-s","syr-c","syr-p","syr-pal","syr-h","cop","goth","arm","geo","eth","Diatessaron","Marcion","Irenaeus","Ambrose","Tertullian","Augustine","Cyril","Origen","Eusebius","Basil"
"1010",0.72,0.567,0.147,0.702,0.277,0.639,0.115,0.599,0.311,0.226,0.071,0.269,0.593,0.166,0.205,0.049,0.114,0.351,0.233,0.106,0.372,0.143,0.225,0.289,0.104,0,0.229,0.192,0.13,0.135,0.19,0.425,0.092,0.223,0.091,0.183,0.151,0.121,0.113,0.115,0.597,0.374,0.544,0.521,0.484,0.601,0.599,0.329,0.557,0.577,0.337,0.519,0.327,0.647,0.485,0.362,0.458,0.204,0.533,0.196,0.476,0.395,0.531,0.42,0.676,0.684,0.684,0.577,0.607,0.5,0.538,0.36,0.071
"1071",0.72,0.575,0.279,0.709,0.309,0.696,0.257,0.553,0.419,0.289,0.24,0.263,0.508,0.279,0.25,0.218,0.257,0.437,0.296,0.259,0.397,0.263,0.341,0.307,0.223,0.229,0,0.274,0.246,0.246,0.257,0.447,0.257,0.314,0.267,0.313,0.257,0.223,0.271,0.247,0.644,0.425,0.594,0.603,0.484,0.66,0.646,0.376,0.589,0.631,0.423,0.526,0.402,0.662,0.564,0.381,0.458,0.257,0.514,0.314,0.446,0.408,0.52,0.477,0.784,0.684,0.579,0.769,0.607,0.5,0.538,0.44,0.321
"1079",0.768,0.528,0.231,0.707,0.298,0.671,0.11,0.61,0.322,0.264,0.187,0.302,0.61,0.072,0.247,0.159,0.211,0.379,0.3,0.218,0.385,0.214,0.297,0.333,0.192,0.192,0.274,0,0.192,0.198,0.231,0.497,0.203,0.28,0.233,0.25,0.095,0.198,0.198,0.224,0.604,0.391,0.581,0.562,0.497,0.634,0.633,0.358,0.595,0.619,0.393,0.584,0.383,0.632,0.495,0.375,0.458,0.216,0.514,0.255,0.452,0.414,0.551,0.466,0.649,0.737,0.737,0.577,0.679,0.643,0.538,0.28,0.107
"1195",0.752,0.6,0.152,0.718,0.223,0.646,0.158,0.615,0.306,0.239,0.147,0.243,0.525,0.199,0.216,0.115,0.137,0.368,0.228,0.153,0.321,0.181,0.253,0.289,0.137,0.13,0.246,0.192,0,0.168,0.179,0.425,0.141,0.223,0.136,0.178,0.184,0.143,0.141,0.172,0.604,0.402,0.575,0.603,0.484,0.627,0.633,0.329,0.595,0.601,0.35,0.545,0.37,0.662,0.535,0.4,0.482,0.138,0.551,0.216,0.446,0.408,0.5,0.511,0.73,0.789,0.737,0.538,0.714,0.524,0.59,0.48,0.179
"1216",0.728,0.572,0.207,0.718,0.298,0.677,0.18,0.599,0.339,0.245,0.147,0.303,0.576,0.193,0.249,0.131,0.177,0.408,0.261,0.176,0.353,0.225,0.275,0.306,0.186,0.135,0.246,0.198,0.168,0,0.244,0.448,0.152,0.251,0.159,0.228,0.184,0.159,0.175,0.126,0.617,0.397,0.587,0.644,0.528,0.614,0.653,0.358,0.627,0.625,0.387,0.552,0.377,0.684,0.535,0.419,0.482,0.251,0.542,0.265,0.488,0.421,0.5,0.466,0.595,0.737,0.684,0.5,0.714,0.5,0.538,0.4,0.143
"1230",0.776,0.589,0.228,0.713,0.245,0.62,0.197,0.599,0.383,0.258,0.196,0.272,0.576,0.238,0.234,0.158,0.217,0.368,0.283,0.194,0.346,0.176,0.269,0.306,0.169,0.19,0.257,0.231,0.179,0.244,0,0.448,0.212,0.086,0.17,0.261,0.212,0.132,0.198,0.207,0.597,0.397,0.569,0.575,0.46,0.575,0.639,0.358,0.582,0.619,0.393,0.539,0.346,0.669,0.515,0.4,0.506,0.228,0.551,0.216,0.458,0.441,0.531,0.443,0.676,0.684,0.632,0.654,0.571,0.548,0.59,0.48,0.214
"1241",0.456,0.417,0.425,0.47,0.479,0.696,0.448,0.376,0.456,0.472,0.436,0.448,0.288,0.475,0.414,0.431,0.434,0.414,0.472,0.447,0.423,0.453,0.387,0.372,0.436,0.425,0.447,0.497,0.425,0.448,0.448,0,0.425,0.446,0.449,0.45,0.458,0.431,0.412,0.448,0.658,0.511,0.65,0.658,0.64,0.673,0.653,0.538,0.69,0.643,0.552,0.643,0.537,0.64,0.584,0.531,0.398,0.467,0.318,0.52,0.494,0.487,0.52,0.67,0.757,0.737,0.684,0.731,0.607,0.429,0.641,0.48,0.393
"1242",0.704,0.583,0.184,0.707,0.287,0.639,0.142,0.577,0.322,0.226,0.103,0.266,0.593,0.182,0.207,0.087,0.177,0.362,0.244,0.129,0.372,0.165,0.253,0.306,0.142,0.092,0.257,0.203,0.141,0.152,0.212,0.425,0,0.24,0.131,0.183,0.156,0.121,0.113,0.144,0.611,0.397,0.556,0.562,0.466,0.595,0.619,0.335,0.563,0.589,0.362,0.545,0.358,0.654,0.515,0.375,0.446,0.204,0.542,0.235,0.47,0.421,0.541,0.42,0.676,0.737,0.684,0.538,0.607,0.524,0.513,0.4,0.143
"1253",0.784,0.594,0.229,0.749,0.298,0.652,0.24,0.589,0.406,0.302,0.223,0.291,0.61,0.28,0.263,0.189,0.274,0.437,0.32,0.253,0.397,0.211,0.303,0.349,0.2,0.223,0.314,0.28,0.223,0.251,0.086,0.446,0.24,0,0.229,0.303,0.251,0.177,0.24,0.276,0.638,0.437,0.606,0.644,0.509,0.614,0.687,0.416,0.639,0.631,0.436,0.571,0.383,0.713,0.564,0.45,0.542,0.305,0.561,0.275,0.518,0.513,0.561,0.5,0.649,0.737,0.737,0.615,0.643,0.595,0.667,0.48,0.357
"1344",0.784,0.619,0.187,0.739,0.383,0.665,0.153,0.614,0.358,0.289,0.114,0.256,0.61,0.21,0.21,0.091,0.177,0.42,0.267,0.148,0.378,0.182,0.216,0.29,0.153,0.091,0.267,0.233,0.136,0.159,0.17,0.449,0.131,0.229,0,0.216,0.193,0.119,0.159,0.172,0.631,0.443,0.594,0.644,0.516,0.634,0.639,0.387,0.614,0.625,0.411,0.558,0.383,0.676,0.554,0.406,0.494,0.24,0.598,0.225,0.518,0.454,0.561,0.466,0.676,0.684,0.737,0.615,0.607,0.524,0.615,0.36,0.143
"1365",0.696,0.572,0.239,0.733,0.287,0.677,0.194,0.594,0.344,0.264,0.194,0.261,0.627,0.211,0.261,0.156,0.194,0.282,0.294,0.224,0.385,0.206,0.3,0.367,0.211,0.183,0.313,0.25,0.178,0.228,0.261,0.45,0.183,0.303,0.216,0,0.212,0.211,0.198,0.213,0.631,0.437,0.606,0.603,0.534,0.641,0.626,0.405,0.614,0.619,0.418,0.565,0.426,0.684,0.584,0.444,0.446,0.246,0.542,0.324,0.464,0.461,0.531,0.5,0.703,0.632,0.737,0.615,0.607,0.5,0.615,0.44,0.143
"1546",0.704,0.553,0.207,0.704,0.319,0.69,0.106,0.603,0.341,0.258,0.145,0.274,0.576,0.112,0.229,0.112,0.2,0.345,0.263,0.188,0.365,0.19,0.24,0.302,0.151,0.151,0.257,0.095,0.184,0.184,0.212,0.458,0.156,0.251,0.193,0.212,0,0.14,0.158,0.161,0.611,0.397,0.6,0.562,0.499,0.654,0.646,0.353,0.614,0.625,0.405,0.571,0.352,0.654,0.505,0.387,0.434,0.216,0.542,0.265,0.452,0.428,0.541,0.489,0.649,0.684,0.737,0.577,0.643,0.571,0.564,0.36,0.107
"1646",0.72,0.611,0.187,0.729,0.298,0.658,0.132,0.599,0.372,0.258,0.115,0.231,0.593,0.177,0.198,0.099,0.171,0.362,0.239,0.159,0.365,0.17,0.231,0.283,0.137,0.121,0.223,0.198,0.143,0.159,0.132,0.431,0.121,0.177,0.119,0.211,0.14,0,0.124,0.138,0.584,0.368,0.562,0.562,0.46,0.621,0.639,0.341,0.582,0.607,0.374,0.526,0.346,0.669,0.535,0.406,0.434,0.204,0.57,0.235,0.44,0.434,0.531,0.443,0.649,0.632,0.684,0.654,0.571,0.524,0.615,0.4,0.143
"2148",0.744,0.599,0.175,0.734,0.319,0.658,0.141,0.61,0.345,0.27,0.107,0.266,0.661,0.198,0.186,0.09,0.177,0.385,0.237,0.153,0.397,0.164,0.237,0.311,0.102,0.113,0.271,0.198,0.141,0.175,0.198,0.412,0.113,0.24,0.159,0.198,0.158,0.124,0,0.178,0.631,0.42,0.581,0.603,0.509,0.621,0.667,0.37,0.601,0.619,0.393,0.571,0.37,0.669,0.545,0.412,0.482,0.234,0.598,0.304,0.47,0.421,0.582,0.489,0.649,0.737,0.684,0.577,0.607,0.524,0.564,0.4,0.179
"2174",0.755,0.626,0.213,0.736,0.277,0.677,0.144,0.592,0.385,0.302,0.121,0.287,0.559,0.184,0.218,0.109,0.19,0.402,0.264,0.224,0.391,0.195,0.27,0.299,0.184,0.115,0.247,0.224,0.172,0.126,0.207,0.448,0.144,0.276,0.172,0.213,0.161,0.138,0.178,0,0.631,0.437,0.606,0.63,0.528,0.647,0.68,0.376,0.614,0.631,0.436,0.545,0.401,0.684,0.574,0.425,0.446,0.275,0.542,0.284,0.524,0.467,0.52,0.443,0.757,0.684,0.684,0.577,0.679,0.524,0.538,0.48,0.25
