"","P66","P75","A","B","C","D","K","L","X","Delta","Theta","Pi","Psi","063","Byz","Lect","f-1","f-13","28","33","565","700","892","1009","1010","1071","1079","1195","1216","1230","1241","1242","1253","1344","1365","1546","1646","2148","2174","it-a","it-aur","it-b","it-c","it-d","it-e","it-f","it-ff-2","it-l","it-q","it-r-1","vg","syr-s","syr-c","syr-p","syr-pal","syr-h","cop","goth","arm","geo","eth","Diatessaron","Chrysostom","Nonnus","Cyprian","Hilary","Theodoret","Tertullian","Cyril","Origen","Eusebius","Aleph-c","W-supp"
"1344",0.59,0.617,0.354,0.654,0.617,0.71,0.222,0.556,0.496,0.185,0.352,0.314,0.29,0.129,0.142,0.21,0.296,0.253,0.173,0.469,0.321,0.148,0.228,0.247,0.222,0.315,0.278,0.173,0.136,0.259,0.321,0.216,0.281,0,0.21,0.259,0.167,0.198,0.13,0.611,0.452,0.597,0.529,0.709,0.567,0.441,0.521,0.625,0.477,0.504,0.403,0.669,0.803,0.419,0.466,0.278,0.462,0.322,0.513,0.464,0.556,0.618,0.386,0.755,0.76,0.538,0.2,0.676,0.495,0.62,0.615,0.429,0.562
"1365",0.604,0.617,0.34,0.682,0.617,0.683,0.253,0.571,0.447,0.229,0.382,0.301,0.347,0.129,0.15,0.224,0.212,0.271,0.172,0.515,0.23,0.153,0.294,0.235,0.235,0.312,0.294,0.224,0.212,0.265,0.347,0.276,0.281,0.21,0,0.306,0.194,0.229,0.206,0.564,0.433,0.549,0.452,0.654,0.546,0.416,0.444,0.587,0.422,0.488,0.381,0.653,0.727,0.35,0.405,0.278,0.375,0.304,0.468,0.416,0.528,0.603,0.409,0.673,0.8,0.577,0.2,0.676,0.467,0.56,0.5,0.405,0.719
"1546",0.576,0.635,0.293,0.647,0.585,0.669,0.138,0.482,0.398,0.297,0.386,0.131,0.326,0.129,0.222,0.287,0.328,0.276,0.29,0.438,0.358,0.269,0.286,0.247,0.306,0.297,0.08,0.28,0.211,0.28,0.341,0.287,0.344,0.259,0.306,0,0.263,0.251,0.249,0.584,0.439,0.549,0.478,0.685,0.567,0.416,0.5,0.596,0.461,0.554,0.381,0.653,0.788,0.4,0.489,0.266,0.312,0.348,0.455,0.432,0.667,0.691,0.386,0.653,0.76,0.615,0.1,0.618,0.421,0.62,0.423,0.286,0.625
"1646",0.547,0.643,0.286,0.659,0.617,0.676,0.19,0.536,0.398,0.176,0.339,0.203,0.331,0.189,0.096,0.187,0.287,0.212,0.16,0.456,0.273,0.125,0.24,0.188,0.235,0.308,0.232,0.186,0.147,0.164,0.306,0.224,0.24,0.167,0.194,0.263,0,0.187,0.145,0.557,0.414,0.514,0.459,0.669,0.553,0.366,0.486,0.625,0.406,0.455,0.317,0.636,0.818,0.344,0.435,0.209,0.4,0.27,0.461,0.44,0.5,0.588,0.364,0.735,0.72,0.5,0.1,0.647,0.514,0.58,0.423,0.381,0.594
"2148",0.597,0.6,0.333,0.671,0.606,0.676,0.19,0.554,0.431,0.21,0.38,0.229,0.331,0.194,0.108,0.17,0.333,0.282,0.172,0.497,0.327,0.165,0.286,0.188,0.241,0.314,0.244,0.176,0.182,0.25,0.329,0.253,0.25,0.198,0.229,0.251,0.187,0,0.173,0.537,0.382,0.535,0.452,0.669,0.518,0.385,0.465,0.567,0.375,0.463,0.338,0.61,0.742,0.344,0.427,0.247,0.362,0.313,0.506,0.464,0.556,0.588,0.398,0.714,0.76,0.5,0.1,0.647,0.467,0.58,0.5,0.452,0.625
"2174",0.59,0.609,0.293,0.665,0.596,0.669,0.191,0.56,0.423,0.185,0.339,0.216,0.318,0.29,0.12,0.216,0.306,0.218,0.172,0.467,0.303,0.145,0.22,0.2,0.241,0.314,0.22,0.185,0.121,0.231,0.318,0.231,0.292,0.13,0.206,0.249,0.145,0.173,0,0.591,0.414,0.556,0.478,0.677,0.574,0.391,0.493,0.606,0.414,0.446,0.353,0.636,0.833,0.375,0.443,0.234,0.4,0.252,0.481,0.424,0.486,0.588,0.398,0.796,0.76,0.577,0.25,0.735,0.458,0.58,0.5,0.357,0.656
"it-a",0.597,0.687,0.585,0.671,0.681,0.614,0.591,0.591,0.585,0.517,0.51,0.604,0.503,0.645,0.537,0.47,0.564,0.591,0.564,0.564,0.53,0.544,0.591,0.55,0.57,0.591,0.55,0.544,0.544,0.503,0.53,0.517,0.583,0.611,0.564,0.584,0.557,0.537,0.591,0,0.416,0.347,0.376,0.559,0.404,0.443,0.333,0.365,0.422,0.331,0.489,0.508,0.424,0.443,0.672,0.55,0.487,0.539,0.523,0.528,0.681,0.412,0.5,0.633,0.32,0.462,0.5,0.294,0.598,0.52,0.538,0.5,0.781
"it-aur",0.626,0.687,0.531,0.694,0.723,0.621,0.427,0.586,0.52,0.433,0.478,0.471,0.51,0.516,0.401,0.401,0.433,0.471,0.401,0.573,0.465,0.401,0.408,0.363,0.433,0.471,0.42,0.389,0.369,0.465,0.465,0.433,0.531,0.452,0.433,0.439,0.414,0.382,0.414,0.416,0,0.437,0.261,0.551,0.426,0.395,0.34,0.365,0.445,0.347,0.137,0.644,0.652,0.459,0.557,0.439,0.412,0.496,0.532,0.48,0.569,0.529,0.557,0.735,0.6,0.385,0.35,0.5,0.645,0.62,0.462,0.595,0.625
"it-b",0.655,0.852,0.597,0.764,0.777,0.576,0.549,0.667,0.65,0.521,0.583,0.576,0.576,0.71,0.535,0.542,0.535,0.583,0.562,0.646,0.549,0.521,0.535,0.549,0.535,0.569,0.514,0.556,0.5,0.521,0.569,0.521,0.677,0.597,0.549,0.549,0.514,0.535,0.556,0.347,0.437,0,0.368,0.512,0.39,0.479,0.347,0.404,0.539,0.364,0.475,0.551,0.561,0.535,0.672,0.549,0.525,0.6,0.625,0.584,0.722,0.559,0.534,0.796,0.52,0.5,0.6,0.588,0.692,0.72,0.577,0.5,0.75
"it-c",0.612,0.696,0.565,0.688,0.691,0.579,0.478,0.624,0.585,0.465,0.484,0.49,0.535,0.452,0.452,0.446,0.471,0.49,0.459,0.567,0.51,0.439,0.439,0.433,0.471,0.503,0.446,0.446,0.433,0.484,0.572,0.459,0.562,0.529,0.452,0.478,0.459,0.452,0.478,0.376,0.261,0.368,0,0.496,0.418,0.395,0.215,0.365,0.43,0.347,0.201,0.568,0.636,0.427,0.511,0.452,0.412,0.522,0.545,0.504,0.625,0.529,0.511,0.755,0.6,0.346,0.45,0.5,0.617,0.64,0.462,0.595,0.594
"it-d",0.638,0.8,0.74,0.654,0.691,0.037,0.661,0.701,0.748,0.685,0.661,0.685,0.646,0.903,0.661,0.669,0.63,0.669,0.669,0.614,0.669,0.654,0.685,0.654,0.669,0.654,0.646,0.654,0.654,0.677,0.685,0.654,0.812,0.709,0.654,0.685,0.669,0.669,0.677,0.559,0.551,0.512,0.496,0,0.52,0.583,0.496,0.615,0.693,0.595,0.598,0.661,0.621,0.646,0.646,0.701,0.625,0.696,0.638,0.616,0.722,0.662,0.739,0.755,0.68,0.577,0.85,0.706,0.785,0.88,0.885,0.738,0.687
"it-e",0.691,0.817,0.638,0.738,0.798,0.574,0.574,0.695,0.732,0.574,0.567,0.667,0.61,0.581,0.546,0.511,0.553,0.596,0.553,0.709,0.613,0.539,0.56,0.525,0.511,0.589,0.56,0.504,0.511,0.56,0.624,0.567,0.656,0.567,0.546,0.567,0.553,0.518,0.574,0.404,0.426,0.39,0.418,0.52,0,0.553,0.433,0.548,0.57,0.446,0.518,0.644,0.53,0.532,0.573,0.589,0.612,0.687,0.66,0.656,0.667,0.588,0.614,0.857,0.64,0.308,0.65,0.559,0.71,0.68,0.692,0.69,0.844
"it-f",0.489,0.513,0.429,0.565,0.489,0.676,0.404,0.509,0.407,0.298,0.385,0.418,0.385,0.452,0.36,0.317,0.435,0.391,0.391,0.398,0.385,0.373,0.373,0.422,0.441,0.472,0.391,0.373,0.373,0.323,0.391,0.348,0.406,0.441,0.416,0.416,0.366,0.385,0.391,0.443,0.395,0.479,0.395,0.583,0.553,0,0.417,0.337,0.219,0.397,0.273,0.627,0.545,0.387,0.504,0.386,0.35,0.235,0.481,0.344,0.542,0.515,0.42,0.429,0.36,0.385,0.3,0.441,0.542,0.44,0.538,0.405,0.406
